class_name,warning,alt_name
Eremurus,It has no toxic effects toward cats nor dogs!
Erica,It has minimal toxicity to pets unless eaten in quantity!
Erigeron,Some species of Erigeron could be toxic. Better to avoid it!
Euphorbia,It is toxic toward cats and dogs!
Eustoma,It has no toxic effects toward cats nor dogs!
Evening Primrose,It has no toxic effects toward cats nor dogs unless digested in large amounts. However, the "Primrose" is toxic toward cats and dogs!
Fall Crocus,It is extremely toxic toward cats and dogs. Steer away at all costs!
Feverfew,It has minimal toxicity to pets unless eaten in quantity!
Firethorn,It is toxic toward cats and dogs!
Flaming Katy,It is toxic toward cats and dogs!
Flannel Flower,It is known to be safe toward pets, however it is better to avoid it!
Flax Flower,It is toxic toward cats and dogs!
Flowering Dogwood,It has no toxic effects toward cats nor dogs!
Forget Me Not,It has no toxic effects toward cats nor dogs!
Forsythia,It has no toxic effects toward cats nor dogs!
Four O'Clock,It is toxic toward cats and dogs!
Foxglove,It is toxic toward cats and dogs!
Frangipani Flower,It is toxic toward cats and dogs!
Freesia,It has no toxic effects toward cats nor dogs!
French Marigold,It is toxic toward cats and dogs!
Fuchsia,It has no toxic effects toward cats nor dogs!
Gaillardia,It has no toxic effects toward cats nor dogs!
Gardenia,It is toxic toward cats and dogs!
Gazania,It has no toxic effects toward cats and dogs!
Geranium,It is toxic toward cats and dogs!
Gerbera Flower,It has no toxic effects toward cats nor dogs!
Gladiolas,It is toxic toward cats and dogs!
Goldenrod,It has no toxic effects toward cats nor dogs!
Grape Hyacinth,It has no toxic effects toward cats nor dogs!
Guzmania,It has no toxic effects toward cats nor dogs!
Hawthorn,It has no toxic effects toward cats nor dogs!
Heather,It has no toxic effects toward cats nor dogs. However, ingesting it might cause stomach upset!
Hebe,Most Hebe plants has no toxic effects toward cats nor dogs. However, some varieties may be toxic!
Helenium,It is toxic toward cats and dogs!
Helichrysum,--
Heliotrope,It is toxic toward cats and dogs!
Hellebore,It is toxic toward cats and dogs!
Hibiscus,It has no toxic effects toward cats nor dogs!
Holly,It is toxic towards cats and dogs!
Hollyhock,It has no toxic effects toward cats nor dogs!
Honeysuckle,It has minimal toxicity to pets unless eaten in quantity!
Hosta,It is toxic toward cats and dogs!
Hyacinth,It is toxic toward cats and dogs!
Hydrangea,It is toxic toward cats and dogs!
Hyssop,It is toxic toward pets!
Ice Plant,It has no toxic effects toward cats nor dogs!
Iceland Poppy,It is toxic toward cats and dogs!
Impatiens,It has no toxic effects toward cats nor dogs!
Ipomoea Lobata,It is toxic toward cats!
Iris,It is toxic toward cats and dogs!
Ixia,It is said to not have any toxic effects toward dogs!
Ixora,It has no toxic effects toward cats nor dogs!
Jacob Ladder,It has no toxic effects toward cats nor dogs!
Jasmine,It has no toxic effects toward cats nor dogs!
Johnny Jump Up,It has no toxic effects toward cats nor dogs!
Kaffir Lily,It is extremely toxic toward cats and dogs!
Kalmia,It is extremely toxic toward cats and dogs!
Kangaroo Paw,It is toxic toward cats and dogs!
Knautia,It has no toxic effects toward cats nor dogs!
Kniphofia,It has no toxic effects toward cats nor dogs!,"Torch Lily, Red Hot Poker, Poker Plant" 
Lady Slipper,It has no toxic effects toward cats nor dogs!,"Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience, Impatience Plants"
Laelia,It has no toxic effects toward cats nor dogs!,"None"
Lantana,It is toxic toward cats and dogs!,"None"
Larkspur,It is toxic toward cats and dogs!,"None"
Lavatera,It has no toxic effects toward cats nor dogs!,"Tree Mallow"
Lavender,It is toxic toward cats and dogs!,"Common Lavender, English Lavender"
Lemon Verbena,It is toxic toward cats and dogs!,"Lemon Beebrush"
Lewesia,No clear information...,"None"
Lilac,It has no toxic effects toward cats nor dogs!,"None"
Lily,It is toxic toward cats. However, not toxic toward dogs!,"None"
Lily of the Valley,It is toxic toward cats and dogs!,"None"
Linaria,No clear information...,"None"
Lotus,It is toxic toward cats!,"None"
Love in the Mist,It is toxic toward cats, dogs, and even you!,"None"
Lunaria,It generally has no toxic effects toward cats and dogs!,"None"
Lupin,It is toxic toward cats, dogs, and even you!,"Lupine, Lupinus"
Magnolia,It has no toxic effects toward cats nor dogs!,"Magnolia Bush, Star Magnolia"
Maltese Cross,It has minimal toxicity to pets unless eaten in quantity!,"None"
Mandevilla,It is toxic toward cats and dogs!,"None"
Marguerite Daisy,It has minimal toxicity to pets unless eaten in quantity!,"None"
Marigold,It has minimal toxicity to pets unless eaten in quantity!,"None"
Matthiola,No clear information...,"None"
Mayflower,No clear information...,"None"
Meconopsis,It could be toxic towards cats and dogs!,"None"
Mimosa,It could be toxic toward cats and dogs!,"None"
Monk Hood,It is toxic toward cats and dogs!,"Monkshood"
Moonflower Vine,It is toxic toward cats and dogs!,"None"
Moraea,It is generally known to be toxic!,"None"
Morning Glory,It is toxic toward cats and dogs!,"None"
Moss Rose,It is toxic toward cats and dogs!,"Wild Portulaca, Rock Moss, Purslane, Pigwee, Pusley"
Narcissus,It is toxic toward cats and dogs!,"Daffodil, Jonquil, Paper White"
Nasturtium,It has no toxic effects toward cats nor dogs!,"Nose-Twister, Nose-Tweaker"
Nemesia,It has no toxic effects toward cats nor dogs!,"None"
Nemophila,It is generally known not to have any toxic effects toward cats nor dogs!,"Baby Blue Eyes"
Neoregelia,It has no toxic effects toward cats nor dogs!,"Crimson Cup, Marbled Fingernail, Blushing Bromeliad, Ossifragi Vase, Miniature Marble Plant, Aregelia"
Nerine,It is toxic toward cats and dogs!,"None"
New Zealand Tea Tree,No clear information...,"None"
Nierembergia,It has minimal toxicity to pets unless eaten in quantity!,"None"
Nolana,No clear information...,"None"
Oleander,It is toxic toward cats and dogs!,"Rose-Bay"
Olearia,No clear information...,"None"
Orchid,It has no toxic effects toward cats nor dogs!,"None"
Oriental Lily,It is extremely toxic toward cats. While not as much toward dogs, it's better to avoid it!,"None"
